price,built_at,year,dong,apart,month,date,area,floor,gu,latitude,longitude
"65,000",1987,2021,충정로3가,피어리스,5,28,84.24,10,서대문구,37.5628128,126.9648876
"97,500",2008,2021,충정로3가,우리유앤미,5,31,84.73,11,서대문구,37.5619629,126.9619328
"110,000",2011,2021,냉천동,돈의문센트레빌,5,20,59.98,7,서대문구,37.56609,126.9624432
"85,800",2006,2021,천연동,천연뜨란채,5,1,57.78,2,서대문구,37.5679888,126.958443
"88,800",2006,2021,천연동,천연뜨란채,5,10,57.78,18,서대문구,37.5679888,126.958443
"88,800",2006,2021,천연동,천연뜨란채,5,10,57.78,18,서대문구,37.5679888,126.958443
"101,000",2008,2021,합동,에스케이뷰,6,11,59.956,13,서대문구,37.5620074,126.9659153
"58,000",2006,2021,천연동,천연뜨란채,6,11,30.17,9,서대문구,37.5679888,126.958443
"85,000",2006,2021,천연동,천연뜨란채,6,12,57.78,6,서대문구,37.5679888,126.958443
"84,300",2006,2021,천연동,천연뜨란채,6,19,56.02,7,서대문구,37.5679888,126.958443
"85,000",2006,2021,천연동,천연뜨란채,6,21,55.82,18,서대문구,37.5679888,126.958443
"85,500",2006,2021,천연동,천연뜨란채,6,22,56.02,9,서대문구,37.5679888,126.958443
"82,500",2006,2021,천연동,천연뜨란채,6,23,55.85,4,서대문구,37.5679888,126.958443
"83,000",2006,2021,천연동,천연뜨란채,6,26,57.78,1,서대문구,37.5679888,126.958443
"84,000",2006,2021,천연동,천연뜨란채,6,26,56.02,3,서대문구,37.5679888,126.958443
"113,500",1995,2021,영천동,독립문삼호,6,2,84.78,7,서대문구,37.5702007,126.9586658
"42,000",1969,2021,충정로3가,미동,7,12,77.63,4,서대문구,37.5631739,126.9639988
"85,000",2006,2021,천연동,천연뜨란채,7,3,55.85,3,서대문구,37.5679888,126.958443
"118,000",1998,2021,현저동,독립문극동(200-0),7,5,84.87,18,서대문구,37.5718671,126.9566937
"170,000",2018,2021,북아현동,e편한세상신촌2단지,7,9,84.98,15,서대문구,37.5582917,126.9552461
"170,500",2018,2021,북아현동,e편한세상신촌2단지,7,10,84.93,13,서대문구,37.5582917,126.9552461
"97,000",1994,2021,홍제동,청구1차,7,3,84.78,11,서대문구,37.5813261,126.9533052
"55,000",2001,2021,홍제동,홍제삼성래미안,7,4,32.76,8,서대문구,37.5789988,126.9516466
"106,000",2001,2021,홍제동,무악재한화,7,8,84.28,10,서대문구,37.5821378,126.9497885
"135,000",2020,2021,홍제동,홍제센트럴아이파크,7,8,84.9728,9,서대문구,37.5849501,126.9446997
"119,000",2001,2021,홍제동,홍제삼성래미안,7,10,114.75,4,서대문구,37.5789988,126.9516466
"127,500",1975,2020,방배동,삼호 1동~3동,1,3,81.39,5,서초구,37.4966734,126.9873472
"209,000",2013,2020,방배동,롯데캐슬아르떼,1,3,121.6356,12,서초구,37.483651,126.9847166
"197,500",2005,2020,방배동,신한엔시모,1,3,244.2,3,서초구,37.4930441,126.995331
"160,000",1975,2020,방배동,삼호 1동~3동,1,7,116.13,12,서초구,37.4966734,126.9873472
"131,000",2006,2020,방배동,방배브라운가,1,8,84.94,10,서초구,37.4834842,126.9919284
"180,000",2010,2020,방배동,리첸시아 방배,1,8,190.91,13,서초구,37.49746,126.9854152
"210,000",2013,2020,방배동,롯데캐슬아르떼,1,9,147.7221,1,서초구,37.483651,126.9847166
"173,000",2004,2020,방배동,방배아크로리버,1,11,149.225,25,서초구,37.4977985,126.9844786
"172,500",2001,2020,방배동,현대멤피스,1,12,158.82,1,서초구,37.4943216,126.9887483
"100,000",2003,2020,방배동,리벨루스(804-1),1,13,122.27,4,서초구,37.4799348,126.9934602
"94,000",2000,2020,방배동,방배씨티(보성),2,1,74.16,8,서초구,37.4906832,126.9911371
"95,000",2006,2020,방배동,신호그린빌,2,1,84.97,5,서초구,37.4786965,126.989853
"102,500",1996,2020,방배동,두원,2,6,59.53,6,서초구,37.492903,126.989706
"340,000",2014,2020,방배동,르가든 5차,2,6,179.19,1,서초구,37.4799348,126.9934602
"147,500",2005,2020,방배동,방배래미안타워,2,6,102.93,3,서초구,37.474683,126.990832
"119,000",1998,2020,방배동,삼호한숲,2,6,84.87,6,서초구,37.4777127,126.9988867
"110,000",2003,2020,방배동,삼성래미안1,2,8,84.91,8,서초구,37.4729075,126.9837494
"192,000",2013,2020,방배동,롯데캐슬아르떼,2,8,84.9145,10,서초구,37.483651,126.9847166
"71,000",2007,2020,방배동,방배아크로타워,2,8,60.12,3,서초구,37.4831009,126.9952758
"140,000",2005,2020,방배동,브라운스톤효령,2,8,120.566,4,서초구,37.4797679,126.9955536
"155,000",1999,2020,방배동,방배1차현대홈타운,3,2,84.96,1,서초구,37.4885501,126.9838383
"160,000",2001,2020,방배동,방배2차현대홈타운,3,2,84.94,5,서초구,37.4900998,126.9837489
"127,500",1991,2020,방배동,방배우성,3,3,80.2,9,서초구,37.4743239,126.982805
"120,000",1988,2020,방배동,방배임광,3,5,82.34,8,서초구,37.4760185,127.002803
"149,000",2019,2020,방배동,방배 서리풀 그랑블,3,5,84.9969,1,서초구,37.4860298,126.997496
"133,000",1996,2020,방배동,두원,3,7,84.87,8,서초구,37.492903,126.989706
"33,000",2005,2020,방배동,방배대우디오빌,3,7,28.84,20,서초구,37.4859892,126.9843601
"33,200",2005,2020,방배동,방배대우디오빌,3,12,29.6,6,서초구,37.4859892,126.9843601
"150,000",1991,2020,방배동,방배우성,3,14,117.19,7,서초구,37.4743239,126.982805
"119,500",1991,2020,방배동,방배우성,3,14,80.2,1,서초구,37.4743239,126.982805
"183,400",1985,2020,방배동,임광,4,1,136.38,3,서초구,37.4760185,127.002803
"115,000",1975,2020,방배동,삼호 1동~3동,4,2,81.39,12,서초구,37.4966734,126.9873472
"104,000",1988,2020,방배동,방배임광,4,6,65.85,7,서초구,37.4760185,127.002803
"125,000",1991,2020,방배동,방배우성,4,7,84.95,10,서초구,37.4743239,126.982805
"112,000",1991,2020,방배동,방배우성,4,7,84.99,1,서초구,37.4743239,126.982805
"138,000",2004,2020,방배동,방배5차상지리츠빌,4,8,133.54,4,서초구,37.4911591,126.9945287
"193,000",2013,2020,방배동,롯데캐슬아르떼,4,9,84.9145,14,서초구,37.483651,126.9847166
"173,000",2001,2020,방배동,방배2차현대홈타운,4,11,114.74,10,서초구,37.4900998,126.9837489
"142,700",1992,2020,방배동,대우(효령),4,13,84.91,7,서초구,37.4794,126.9935488
"180,000",1981,2020,방배동,신동아,4,15,139.74,1,서초구,37.482336,127.001798
"147,500",2005,2020,방배동,한진로즈힐,5,1,84.376,4,서초구,37.4867669,126.9834435
"89,700",2017,2020,방배동,서초훼미리하우스,5,2,59.49,9,서초구,37.4762397,126.9583907
"102,000",2003,2020,방배동,방배동갤러리하우스3,5,4,103.65,3,서초구,37.4934607,126.9947477
"172,000",2001,2020,방배동,현대멤피스,5,5,133.31,1,서초구,37.4943216,126.9887483
"80,000",2002,2020,방배동,서초이에스에이3차,5,7,59.4,10,서초구,37.4789349,127.0059137
"151,500",2005,2020,방배동,브라운스톤방배,5,7,84.96,8,서초구,37.4864616,126.9951368
"137,000",2003,2020,방배동,방배대우멤버스카운티(809-17),5,8,125.52,2,서초구,37.4930163,126.9959421
"134,000",1992,2020,방배동,대우(효령),5,9,84.91,4,서초구,37.4794,126.9935488
"190,000",2010,2020,방배동,서리풀e편한세상,5,9,84.97,5,서초구,37.4839011,126.9984568
"189,000",2010,2020,방배동,서리풀e편한세상,5,10,84.97,2,서초구,37.4839011,126.9984568
"70,700",2007,2020,방배동,방배아크로타워,6,1,52.18,9,서초구,37.4831009,126.9952758
"160,000",1981,2020,방배동,삼익,6,5,88.26,3,서초구,37.4789904,127.0015253
"34,000",2005,2020,방배동,방배대우디오빌,6,5,29.6,12,서초구,37.4859892,126.9843601
"170,000",2004,2020,방배동,래미안방배아트힐(1008-2),6,5,127.61,22,서초구,37.4776606,127.0052555
"74,300",2003,2020,방배동,효산빌라트,6,5,84.77,6,서초구,37.4920442,126.9941645
"105,800",1988,2020,방배동,방배임광,6,5,67.47,3,서초구,37.4760185,127.002803
"134,000",1991,2020,방배동,방배우성,6,5,80.2,8,서초구,37.4743239,126.982805
"149,800",2001,2020,방배동,방배2차현대홈타운,6,6,84.94,1,서초구,37.4900998,126.9837489
"178,000",2003,2020,방배동,방배자이,6,6,164.96,4,서초구,37.4865451,126.9991643
"153,000",2002,2020,방배동,대우로얄빌라트(1027-1),6,6,241.81,2,서초구,37.4751297,127.0001366
"133,000",2009,2020,방배동,방배렉슬,7,1,113.36,3,서초구,37.4906832,126.9911371
"149,800",2010,2020,방배동,서리풀e편한세상,7,1,59.97,6,서초구,37.4839011,126.9984568
"149,800",2010,2020,방배동,서리풀e편한세상,7,1,59.97,6,서초구,37.4839011,126.9984568
"146,000",2003,2020,방배동,방배대우멤버스카운티(809-17),7,2,125.52,5,서초구,37.4930163,126.9959421
"85,000",1988,2020,방배동,방배임광,7,3,51.84,8,서초구,37.4760185,127.002803
"280,000",2006,2020,방배동,방배3차 e-편한세상,7,3,216.7346,12,서초구,37.4942939,126.9914425
"202,000",2003,2020,방배동,대림e-편한세상1,7,3,164.25,6,서초구,37.4878226,126.9988308
"195,000",2004,2020,방배동,방배2차e-편한세상,7,4,164.2,8,서초구,37.4898223,126.9967199
